date,p,Np,Wp,Wi,Gp,Rs
2003,1678,718445,6472,0,197573000,275
2004,1526,3462865,7642,256505,952294000,275
2005,1417,11398035,7654,7329907,3134465000,275
2006,1355,22980561,64079,21186049,6319661000,275
2007,1312,34581206,311983,36624951,9509844000,275
2008,1259,46390855,1061158,51379392,12757495000,275
2009,1232,55764648,2584661,64387271,15335291000,275
2010,1206,65148658,4938246,76962649,17913599000,275
2011,1158,66446341,5311337,78754763,18270462000,275
