date,z,p,Np,Wp,Wi,Gp,Bo,Rs
2003,0.708292936,1678,718445,6472,0,197573000,1.081408783,275
2004,0.719252165,1526,3462865,7642,256505,952294000,1.081638449,275
2005,0.730223923,1417,11398035,7654,7329907,3134465000,1.081833516,275
2006,0.737599094,1355,22980561,64079,21186049,6319661000,1.081958493,275
2007,0.743177231,1312,34581206,311983,36624951,9509844000,1.082052117,275
2008,0.750550546,1259,46390855,1061158,51379392,12757495000,1.082176326,275
2009,0.754508773,1232,55764648,2584661,64387271,15335291000,1.082243717,275
2010,0.75844356,1206,65148658,4938246,76962649,17913599000,1.082311468,275
2011,0.766010059,1158,66446341,5311337,78754763,18270462000,1.082444552,275
